friendly_class,opponent_class,turn,noplay_num,win_noplay,no_play_CI,pick1_num,win_pick1,win_pick1_ci,pick5_num,win_pick5,win_pick5_ci,pick10_num,win_pick10,win_pick10_ci
PRIEST,HUNTER,11,1798,61.512,1.163583882,6,28.488,13.44397556,62,5.779666667,8.786018864,84,26.592,5.395902915
PRIEST,HUNTER,12,1800,61.792,1.181728466,7,23.92228571,18.19070442,33,-2.144631579,10.9590593,53,22.30345455,6.675091918
PRIEST,MAGE,3,6848,58.708,0.610214424,7,7.958666667,27.42641384,126,1.02,6.882287981,45,1.053904762,8.68727397
PRIEST,MAGE,4,5661,57.464,0.75760735,24,4.300705882,13.07758243,1442,4.076,1.84824377,636,5.728,2.067925157
PRIEST,MAGE,5,6107,57.476,0.781399173,78,-17.876,8.936150093,304,-2.56,2.992290324,201,0.392,5.913461061
PRIEST,MAGE,6,6295,57.448,0.673036024,77,-25.62419048,6.621599172,328,0.824,4.049009309,361,5.9,2.402217581
PRIEST,MAGE,7,6258,57.86,0.619185632,88,-8.948,8.682408477,274,4.484,2.981257881,513,-1.624,3.066081033
PRIEST,MAGE,8,6242,57.876,0.77047355,74,-13.61513043,9.020500818,199,-0.552,3.672588065,538,9.824,2.502763736
PRIEST,MAGE,9,5894,57.98,0.685478507,31,4.52,11.37731658,377,-3.928,2.883813657,663,8.036,2.406211557
PRIEST,MAGE,10,5549,58.636,0.829080225,37,0.574526316,12.3759969,312,-13.632,3.301258865,585,7.292,2.347396753
PRIEST,MAGE,11,5328,59.276,0.726275776,24,-1.381263158,13.06536158,227,0.884,3.412213924,457,7.304,2.272038006
PRIEST,MAGE,12,5221,59.32,0.689252677,16,-0.99,18.13949943,208,-1.82,5.576190134,368,12.1,3.743176412
PRIEST,PALADIN,3,3059,53.94,0.953974236,10,-22.69,20.31299526,69,-6.194545455,8.734656803,17,0.226666667,17.46269894
PRIEST,PALADIN,4,2434,52.792,1.093166061,15,-14.91018182,16.93964373,808,3.076,1.960339,250,2.124,3.22290492
PRIEST,PALADIN,5,2548,53.108,1.064764406,54,-18.41254545,9.513754642,171,-5.096,5.484986615,110,4.821166667,7.658507709
PRIEST,PALADIN,6,2588,53.872,1.065603776,47,-4.787,10.59517692,169,-7.672,6.480337839,164,5.32,6.049503815
PRIEST,PALADIN,7,2607,54.164,1.154421904,45,-11.664,10.5525461,132,-2.076,6.059612795,204,6.076,3.892723498
PRIEST,PALADIN,8,2531,54.78,1.177449314,52,-20.2,9.525189102,101,-3.000833333,6.874884479,249,2.872,3.318443784
PRIEST,PALADIN,9,2271,55.124,1.218255688,11,11.54266667,20.67197101,226,-8.72,4.961140778,329,5.216,2.830697824
PRIEST,PALADIN,10,2048,54.616,1.265104378,13,10.384,18.4448876,141,-3.232,5.826761819,277,11.248,4.412755795
PRIEST,PALADIN,11,1950,54.7,1.452262576,14,4.390909091,18.07327043,107,-4.354166667,6.347745559,173,7.38,6.162796535
PRIEST,PALADIN,12,1921,55.424,1.435664495,7,-13.75733333,26.10916812,53,-4.669454545,10.27571649,130,3.3385,6.173439294
PRIEST,PRIEST,3,8050,49.36,0.632985232,1,50.64,NA,138,-2.7,5.809803867,59,6.476363636,7.270704186
PRIEST,PRIEST,4,6759,49.404,0.802752538,15,-30.17323077,12.87369663,1688,0.412,1.499929667,696,4.1,2.348580153
PRIEST,PRIEST,5,7218,50.748,0.875954813,65,-16.70038095,8.342851975,468,-7.808,2.479341057,196,0.324,4.329848306
